Ref,Question,Ratio,Transitions,Black_Size,Normalization,Normalization_Sums,Angles,Centroid
R025,Q050,161.9629587282228,870.175844298151,4412.925107001024,4412.925107001024,2.7451453226216533,3.1400590035446507,229.330968396
R025,Q067,137.04743704279917,762.7686412012491,6769.120770085285,6769.120770085285,2.8478850398738254,2.8792204796266945,299.161249402
R025,Q032,113.50330391667019,1451.0334248390006,2068.350792298057,2068.350792298057,3.355816007394792,3.48996627828198,299.007483158
R025,Q005,92.94622100978609,1411.8158520147024,23702.384795627633,23702.384795627633,3.3885984955763435,5.44009034575952,132.127232605
R025,Q098,341.1832352270551,1410.2563596736588,3162.028462869998,3162.028462869998,2.8131215638244065,3.7728053621276607,250.511177493
R025,Q019,73.5187051028512,1467.3919040256424,1946.6353022587462,1946.6353022587462,4.197198456696624,5.4720115804230405,227.185184007
R025,Q084,137.87313008704777,1383.6502448234526,2819.8941469494916,2819.8941469494916,2.829410630547102,3.7984183267956304,269.493299053
R012,Q020,143.11883174481267,1841.3810034862422,5265.452687091586,5265.452687091586,4.129059173620304,4.241525373615477,477.625456818
R012,Q017,113.73653766490345,527.8598298791072,4568.0994954138205,4568.0994954138205,3.6221432922100476,3.484804127706688,280.39316141
R012,Q042,151.2084653714864,1270.1562895958907,6893.225950162957,6893.225950162957,3.0774197512595856,3.6767152261918605,288.572992136
R012,Q075,106.53637876331258,380.87793320170175,3374.0214877798276,3374.0214877798276,2.9688654428330827,2.7698459666212165,141.479310719
R012,Q069,92.01630290334425,3867.503846151934,27217.993772502778,27217.993772502778,3.9694623276665686,4.693541109898636,499.43329686
R012,Q096,129.97692102831178,482.14624337435214,20858.95412047306,20858.95412047306,3.2520944089482193,3.2911164368812527,196.557941372
R012,Q087,78.81624198095213,1589.36591129922,13007.551191519486,13007.551191519486,3.327755895227048,3.65887602870775,348.653607471
R012,Q078,108.1434232859308,1763.4539971317652,4311.338539247411,4311.338539247411,3.542861704084171,3.654445933285581,316.114022345
R012,Q064,128.04296154025803,525.4245902125251,3755.9551381772385,3755.9551381772385,3.6538098907226524,3.6122481707270944,272.509818536
R012,Q053,120.66482503198685,550.0963551960692,8131.029639596697,8131.029639596697,3.5705376507904187,3.4495067452768655,260.236626368
R012,Q006,114.02631275280281,616.845199381498,4522.2606072626995,4522.2606072626995,3.5781789380063564,3.4434241090271116,331.780752865
R012,Q031,132.6574536164478,555.3620440757543,3401.558907324699,3401.558907324699,3.679465276271773,3.4702048197153506,257.525394958
R012,Q028,113.9034679015525,1266.4221255173964,3464.3458256935032,3464.3458256935032,3.5255961674457956,3.522404436013075,418.727402274
R012,Q082,124.7156766409099,685.3203630419864,4391.3409113845855,4391.3409113845855,3.3830128128247763,4.0313110612033975,293.921717197
R012,Q056,124.19742348374221,601.647737467698,3523.445614735667,3523.445614735667,3.528545520839202,3.8801270272975725,301.155649755
R012,Q061,112.7962765342899,834.0179854175808,264121.4281992281,264121.4281992281,2.7928262923384235,2.729488921181356,438.232260914
R012,Q034,108.15729286552988,714.3521540528873,3527.4514879725843,3527.4514879725843,3.6564764665819176,3.6183723447168954,321.713161934
R012,Q003,148.48232218011677,794.7710362110587,4312.888591188045,4312.888591188045,3.490225582853509,3.519770818337546,332.137385595
R012,Q012,150.42606157179014,590.9695423623792,73388.20112933686,73388.20112933686,2.640860916018151,2.7570571439332943,226.000075067
R012,Q025,572.8175974950491,682.7781484494067,5436.0867358790365,5436.0867358790365,3.7852861658245835,3.7503467011895495,354.219738868
R012,Q070,266.93819509392057,586.027303118208,11512.37998851671,11512.37998851671,3.4968885509510432,3.2902895834293773,204.653132284
R012,Q047,211.14450028357356,869.0489054132685,14644.616860812714,14644.616860812714,3.8497045303217474,3.759916468218153,558.431196064
R012,Q093,97.52435593224905,407.0945836043511,3301.3207962874494,3301.3207962874494,2.8822392895551414,3.3636747216991223,224.327412125
R012,Q039,122.15973149937749,708.4108977140315,3541.9985883678723,3541.9985883678723,3.02499093929052,2.9181589202018654,247.936881793
R012,Q009,215.15808141922068,1385.4555207584256,2982.5634947139015,2982.5634947139015,2.0671026532623626,2.4217228640403126,168.471513323
R012,Q094,128.57293649909377,1051.68911756279,3972.831609821891,3972.831609821891,3.762794138197221,3.905357520165265,648.956813685
R012,Q015,61.644140029689765,1308.8983917783687,2927.3730544636774,2927.3730544636774,3.3978483994041198,3.2468938305589927,273.056578087
R012,Q022,124.70364870363657,789.9512643195148,3875.817978182154,3875.817978182154,3.4903424911824565,3.5287029638114404,247.778093902
R012,Q077,65.91661399070799,1522.0965803785252,3128.489731483867,3128.489731483867,2.9432814717748443,3.118792483814913,286.17755406
R012,Q040,104.32161808561061,541.0388156130759,3503.756983582052,3503.756983582052,3.0502613191375376,2.7806231336532305,265.605730927
R012,Q088,100.17983829094555,567.3067953056794,2867.9102147731196,2867.9102147731196,3.4271915342655057,3.4356950112534115,222.565946313
R012,Q099,114.29785649783639,2259.35411124507,3606.3728315303174,3606.3728315303174,3.7477439808704136,3.985118563044599,272.782266933
R012,Q051,80.47981113297918,384.89868796866534,5002.393926911394,5002.393926911394,2.9825144720157515,2.851178415856373,209.925827367
R012,Q066,36.138621999185304,296.45404365601087,3245.088442554378,3245.088442554378,1.650404656357825,1.5463388016021824,115.883574602
R012,Q033,126.21410380777577,829.5625353160544,4808.708142526431,4808.708142526431,4.483772696982388,4.476352735126927,346.044569945
R012,Q004,123.58397954427588,759.3648661875264,8255.978924391704,8255.978924391704,3.7579103470803044,3.5731011796451315,258.274552391
R012,Q085,98.24459272652109,513.5941977865405,3718.344524112848,3718.344524112848,2.9092788017718556,2.990268494945134,241.751305154
R012,Q018,105.33280590585252,1704.5210470979816,3363.72665357933,3363.72665357933,3.303471653822043,3.4721677703833542,301.041403649
R012,Q063,112.47666424641157,635.0590523722971,3311.214882788491,3311.214882788491,3.0595966619881256,3.1687640662018812,295.640269723
R012,Q054,102.63040485158382,1320.4730213071375,3483.574887956336,3483.574887956336,2.4517405562945687,2.7119525061021927,223.858567121
R012,Q001,129.83065893693984,1563.4573866914313,4172.0793376924175,4172.0793376924175,3.71676878251653,3.92398801380034,344.748305053
R012,Q036,86.16263691415206,1279.1313458750044,7954.6650463737315,7954.6650463737315,3.4513365463271968,3.4815692940898986,252.322725325
R012,Q048,122.09422590769803,733.1411869483258,34851.030501263514,34851.030501263514,3.2996564746395154,3.2669536845027056,211.749783259
R012,Q080,94.18067742376883,663.7883698890785,3432.746713639094,3432.746713639094,2.941911698140156,2.7176940949571846,210.140131451
R012,Q091,51.807335387954474,527.1660080088624,4961.679655116804,4961.679655116804,3.1899332565537946,3.14628152191383,191.473269252
R012,Q059,149.20455757114124,704.1200181787193,3596.0957996137977,3596.0957996137977,4.481876018503115,4.611140473146816,358.205168291
R012,Q027,184.15211103867367,1031.0203683730017,5696.1762613177625,5696.1762613177625,4.435116486377174,4.534823070155586,485.495989654
R012,Q010,307.7693941898707,639.6749174385377,5122.0794605316305,5122.0794605316305,3.782842584310051,3.887290820994274,261.57346716
R012,Q045,119.95832609702421,704.6403337873869,9292.65833871019,9292.65833871019,3.897086816053584,4.114086538387357,356.604756239
R012,Q072,117.60527199067225,638.697894156541,9024.546636812289,9024.546636812289,3.6159293130397043,3.681233838891024,206.011361061
R012,Q083,137.59360450253493,916.0605875159132,3815.3880536585,3815.3880536585,4.9355341822767915,5.3205296836286555,345.194331679
R012,Q029,149.00671125825173,807.1536408887715,3726.6219287714175,3726.6219287714175,3.7203158887948398,3.911076352069939,380.774403066
R012,Q057,118.32582135780845,1112.5124718402037,3618.6147902201474,3618.6147902201474,3.99678263837028,3.926185281777328,303.572438608
R012,Q060,118.43985815594343,519.2350142276616,3504.5008203737093,3504.5008203737093,3.8726011320480223,3.971133831310441,249.909324901
R012,Q035,121.25180411028943,665.5659246085244,4658.6216845758145,4658.6216845758145,3.45272231074849,4.062180580219319,310.57441209
R012,Q002,121.72510012318742,1425.8934041505347,13892.88325006728,13892.88325006728,3.523651074332771,3.7401586193747884,293.516482784
R012,Q013,85.76712656956627,466.4536418552223,3129.9023946442803,3129.9023946442803,3.4896781610477987,3.3931997820221182,159.77635793
R012,Q024,89.19080670113932,614.7796353165905,25894.723246252313,25894.723246252313,3.2513851603869814,3.0298858511165627,266.479640921
R012,Q071,688.2855512067648,590.4100270151245,17544.05226850399,17544.05226850399,3.1048814092547454,3.155353634507266,331.160320794
R012,Q046,131.190700889964,1749.1197786315265,3786.6829811855123,3786.6829811855123,3.8267972360409037,3.9453559123796516,340.216948632
R012,Q038,90.87904048789248,1555.99807197824,3673.0585347908627,3673.0585347908627,3.1841593697574577,3.3588536807204474,231.515865016
R012,Q092,125.1678872554778,595.5274972660792,3505.2693191821936,3505.2693191821936,3.2162982749044953,3.0893211100250335,251.264143739
R012,Q021,312.2771205195795,1332.5002814258614,3628.5769938090057,3628.5769938090057,3.539515063357846,3.846088317529841,311.915222518
R012,Q016,127.67536959022284,909.7021490575912,3677.5536705804852,3677.5536705804852,3.5853344177166733,4.129566734316908,391.115962046
R012,Q043,77.7174369109018,1317.938921194757,4484.774576274709,4484.774576274709,3.059798328721168,2.988558604202103,285.570658711
